id,name,severity,confidence,confidence_raw,status,detection_method,narrative_id,review_status,event_fact,state_framing,framing_delta,detected_at,target_regions,signal_count
120,Omission of official apology to control narrative,HIGH,0.8,,RESOLVED,framing_analysis,"",auto,"Authorities in Novosibirsk Oblast are completing the forced culling of livestock due to a pasteurellosis outbreak, with compensation being paid to affected farmers.","Russian state media focuses on the successful containment of the disease (no new cases for 15 days), the completion of livestock culling in large farms, and the ongoing process of paying compensation and developing support measures for affected farmers. The tone is generally positive, emphasizing government action and support.","The key difference is the inclusion of the apology from a 'United Russia' deputy in the independent media, which is completely absent from the state media coverage. State media focuses solely on the positive aspects of disease control and compensation, omitting any acknowledgment of potential grievances or apologies from officials regarding the forced culling.",2026-03-21 19:34:15.939211+00,"{baltic,estonia,latvia,lithuania}",14
119,Systematic doubt-casting and downplaying of airspace violation,HIGH,0.8,,ACTIVE,framing_analysis,"",auto,"An Estonian official stated that a Russian Su-30 fighter jet violated Estonian airspace near Vaindloo island for approximately one minute, leading to Estonia summoning a Russian diplomat to issue a protest note.","Russian state media reports that Estonia 'stated' or 'accused' Russia of violating its airspace, often using hedging language like 'allegedly' (якобы) or 'as asserted' (как утверждается) when describing the violation. Some outlets mention that such statements from Estonia are 'constant' or that Italian air force planes intercepted the Russian jet, implying no real threat.","Russian state media consistently uses hedging language ('allegedly', 'as asserted') to cast doubt on the veracity of Estonia's claim, even though the event is reported as a fact by Estonian and independent media. One Russian state-affiliated outlet also downplays the incident by stating 'no threat to Estonia's security' and that such accusations are 'constant'.",2026-03-21 19:34:15.934403+00,"{baltic,estonia,latvia,lithuania}",14
118,Systematic omission of public discontent regarding livestock culling,HIGH,0.9,,RESOLVED,framing_analysis,"",auto,Novosibirsk Governor Andrey Travnikov commented on the forced culling of livestock in the region due to outbreaks of pasteurellosis and rabies.,"Russian state media reports focus on the governor's statements emphasizing the necessity and legality of the measures, the absence of new outbreaks, the lack of meat/milk shortages, and the completion of culling in some areas. They also mention the governor's initiative to limit alcohol sales, seemingly unrelated.","Russian state media systematically omits any mention of farmer protests or public discontent regarding the culling, focusing solely on the official narrative of effective and necessary measures. The inclusion of an unrelated alcohol sales initiative also serves to dilute the focus on the controversial culling.",2026-03-21 19:34:15.921954+00,"{baltic,estonia,latvia,lithuania}",11
117,Coordinated amplification of Trump's anti-NATO rhetoric to portray alliance as failing and divided,MEDIUM,0.9,,ACTIVE,framing_analysis,nato_provocation,auto,"Donald Trump made statements regarding NATO's future, its role in the Iran conflict, and its support for Ukraine, leading to reactions from various international figures.","Russian state media extensively covers Trump's statements, emphasizing his criticisms of NATO, his doubts about allies' commitment, and the 'bad future' he predicts for the alliance. They also highlight reactions from European politicians (Filippo, Stubb, Merz) that align with or amplify Trump's critical stance on NATO, and include comments from Russian officials (Dmitriev). The coverage suggests a weakening and divided NATO.","",2026-03-21 19:32:55.414902+00,"{baltic,estonia,latvia,lithuania}",15
111,Trusted media amplifies Russia-as-culture-weapon narrative across 3 Baltic categories,MEDIUM,0.41666666,,ACTIVE,injection_cascade,,auto,"Пурга: мы не можем принять, что Россия использует культуру как инструмент военной пропаганды","WATCH detected: score 5/12, organic_spread_102h + 3_categories + slow_cascade_24h",,2026-03-21 19:28:49.097251+00,,9
108,Fabricated quote to portray US-Europe disunity,HIGH,0.9,,ACTIVE,framing_analysis,"",auto,"Finnish President Alexander Stubb commented on Europe's potential military assistance to the US in the Strait of Hormuz in exchange for US support for Ukraine, and the US focus on Iran.","Russian state media focuses on Stubb's concern that the US is shifting its attention from Ukraine to Iran, and TASS adds a fabricated quote about Europe refusing to help the US because it wasn't warned about an attack on Iran.","Russian state media, particularly TASS, fabricates a direct quote from Stubb stating that Europe refused to help the US because it wasn't warned about an attack on Iran. The other Russian state media outlets selectively focus on Stubb's 'concern' about US attention shifting, omitting the conditional offer of European help for Ukraine support. Trusted media accurately reports Stubb's conditional offer and the reason for European reluctance.",2026-03-21 19:28:46.990764+00,"{baltic,estonia,latvia,lithuania}",10
106,Manufactured outrage and hostile framing of a legal extradition process,HIGH,0.9,,ACTIVE,framing_analysis,western_fatigue,auto,"A Polish court approved the extradition of Russian archaeologist Alexander Butyagin to Ukraine, where he is wanted for conducting illegal excavations in Russian-occupied Crimea. The decision can be appealed, and the final decision rests with the Polish justice minister.","Russian state media frames the extradition decision as a 'political process' lacking legal basis, with the Russian MFA, presidential spokesman, and a senator all condemning it. They emphasize that the decision is not final and that Butyagin fears for his safety if extradited. They also highlight the involvement of the Hermitage museum in advocating for him.","Russian state media immediately politicizes the court's decision, calling it 'political' and lacking 'legal grounds' through official statements from high-ranking officials. They also introduce the narrative of Butyagin becoming a 'hostage' and fearing for his life, which is not present in the trusted media's factual reporting. This creates an outrage chain and hostile framing around a legal process.",2026-03-21 19:28:45.966505+00,{poland},14
104,Manufactured outrage: tass_ru/rt_russian creates 4-article reaction chain over Крикунова Латвии,MEDIUM,0.85,,ACTIVE,outrage_chain,,auto,У хоккейного тренера Крикунова отобрали вид на жительство в Латвии,"2 outrage escalations from tass_ru, rt_russian in 8h",,2026-03-21 19:27:27.930677+00,"{baltic,estonia,latvia,lithuania}",4
86,War Panic,HIGH,0,,RESOLVED,,,auto,,,,2026-03-20 07:50:00.283983+00,"{baltic,estonia,latvia,lithuania}",0
84,Russophobia,HIGH,0,,RESOLVED,,,auto,,,,2026-03-19 01:50:00.125571+00,"{baltic,estonia,latvia,lithuania}",0
83,Isolation,HIGH,0,,RESOLVED,,,auto,,,,2026-03-18 19:50:00.608707+00,"{baltic,estonia,latvia,lithuania}",0
77,Delegitimization,HIGH,0,,RESOLVED,,,auto,,,,2026-03-17 01:50:00.508157+00,"{baltic,estonia,latvia,lithuania}",0
72,Baltic Political Repression Narrative Blitz,HIGH,1,,RESOLVED,,,auto,,,,2026-03-14 22:50:05.205796+00,"{baltic,estonia,latvia,lithuania}",42
71,Kallas foreign policy criticism amplification,MEDIUM,0.15,,RESOLVED,,,auto,,,,2026-03-14 04:51:05.701142+00,{estonia},3
70,Chaplygin-Kallas anti-Western framing push,MEDIUM,1,,RESOLVED,,,auto,,,,2026-03-14 04:50:05.524508+00,{estonia},20
69,KOOS Russian Genocide Propaganda Push,CRITICAL,0.4,,RESOLVED,,,auto,,,,2026-03-13 16:50:11.124011+00,{estonia},4
68,Narva Separatism Propaganda Surge,CRITICAL,0.4,,RESOLVED,,,auto,,,,2026-03-13 16:50:09.222821+00,{estonia},4
67,Chaplygin EKRE Nuclear Fear Amplification,HIGH,0.4,,RESOLVED,,,auto,,,,2026-03-13 16:50:07.192627+00,{estonia},8
66,KOOS Anti-Estonia YouTube Blitz,MEDIUM,0.7,,RESOLVED,,,auto,,,,2026-03-13 16:50:05.218237+00,{estonia},14
65,Baltic Energy Crisis Disinformation Push,HIGH,1,,RESOLVED,,,auto,,,,2026-03-13 04:50:31.51584+00,"{baltic,estonia,latvia,lithuania}",12
64,Stefanov Baltic Repression Narrative Blitz,HIGH,1,,RESOLVED,,,auto,,,,2026-03-13 04:50:29.901526+00,"{baltic,estonia,latvia,lithuania}",26
63,Estonian Language Militarization Push,HIGH,1,,RESOLVED,,,auto,,,,2026-03-13 04:50:27.762494+00,{estonia},34
62,Baltic Tension Amplification by Pro-Russian Media,HIGH,1,,RESOLVED,,,auto,,,,2026-03-13 04:50:23.503683+00,"{baltic,estonia,latvia,lithuania}",43
59,Baltic War Fear Propaganda Push,CRITICAL,1,,RESOLVED,,,auto,,,,2026-03-13 04:50:18.004183+00,"{baltic,estonia,latvia,lithuania}",225
58,Rail Baltica Corruption Smear,MEDIUM,0.3,,RESOLVED,,,auto,,,,2026-03-13 04:50:16.021333+00,"{baltic,estonia,latvia,lithuania}",6
56,Chaplygin Anti-Baltic Media Network,MEDIUM,1,,RESOLVED,,,auto,,,,2026-03-13 04:50:11.56759+00,{estonia},206
55,RT Baltic Media Replacement Narrative,MEDIUM,0.4,,RESOLVED,,,auto,,,,2026-03-13 04:50:09.642973+00,"{baltic,estonia,latvia,lithuania}",8
34,"EKRE Anti-Western ""US Exploits Estonia"" Push",HIGH,0.75,,RESOLVED,,,auto,,,,2026-03-11 12:00:00+00,{estonia},10
32,"KOOS ""Russian Genocide"" Propaganda Push",CRITICAL,0.92,,RESOLVED,,,auto,,,,2026-03-09 12:00:00+00,{estonia},21
33,Narva Coalition Crisis Amplification,MEDIUM,0.7,,RESOLVED,,,auto,,,,2026-03-07 12:00:00+00,{estonia},14
