date,deepstate,defense_rss,gdelt,milwatch,osint_milbase,osint_perplexity,rss,ru_legislation,telegram,telegram_channel,youtube
2026-02-01,0,0,1,0,0,5,0,0,0,0,0
2026-02-02,0,0,3,0,0,1,7,0,0,0,0
2026-02-03,0,0,5,0,0,0,1,0,0,0,0
2026-02-04,0,0,5,0,0,0,8,0,0,0,1
2026-02-05,0,0,4,0,0,0,5,0,0,0,0
2026-02-06,0,0,4,0,0,0,13,0,0,0,5
2026-02-07,0,0,3,0,0,0,0,0,0,0,0
2026-02-08,0,0,1,0,0,1,0,0,0,0,0
2026-02-09,0,0,3,0,0,0,0,0,0,0,0
2026-02-10,0,0,0,0,0,15,5,0,0,0,1
2026-02-11,0,0,1,0,0,2,4,0,0,0,0
2026-02-12,0,0,2,0,0,4,13,0,0,0,0
2026-02-13,0,0,2,0,0,1,8,0,0,0,1
2026-02-14,0,0,4,0,0,0,1,0,0,0,0
2026-02-15,0,0,2,0,0,0,3,0,0,0,0
2026-02-16,0,0,6,0,0,0,2,0,0,0,0
2026-02-17,0,0,4,0,0,0,8,0,0,0,1
2026-02-18,0,0,12,0,0,0,7,0,0,0,0
2026-02-19,0,0,5,0,0,0,11,0,0,0,1
2026-02-20,0,0,6,0,0,0,10,0,0,0,2
2026-02-21,0,0,5,0,0,0,9,0,0,0,0
2026-02-22,0,0,1,0,0,0,2,0,0,0,0
2026-02-23,0,0,0,0,0,0,5,0,0,0,0
2026-02-24,0,0,1,0,0,0,11,0,0,0,1
2026-02-25,0,0,1,0,0,0,6,0,0,1,0
2026-02-26,0,0,1,0,0,0,8,0,0,0,1
2026-02-27,0,0,1,0,0,0,14,0,0,0,2
2026-02-28,0,0,0,0,0,0,3,0,0,0,1
2026-03-01,0,0,1,0,0,1,11,0,0,0,1
2026-03-02,0,0,0,0,0,4,22,0,0,0,1
2026-03-03,0,1,0,0,0,0,51,0,0,0,0
2026-03-04,0,0,0,0,0,0,276,0,0,0,1
2026-03-05,0,3,0,0,0,1,295,0,0,0,0
2026-03-06,0,2,0,18,0,1,1043,0,0,0,7
2026-03-07,0,0,1,15,0,0,550,1,0,0,3
2026-03-08,0,0,4,25,0,1,396,0,0,0,10
2026-03-09,0,1,0,157,0,0,472,0,0,0,16
2026-03-10,0,1,4,133,0,5,619,2,0,0,6
2026-03-11,0,0,7,154,0,24,671,1,1,0,6
2026-03-12,0,0,30,129,3,11,929,1,0,0,6
2026-03-13,0,0,14,173,1,15,1675,4,1,3,10
2026-03-14,0,1,40,126,6,4,1311,1,0,2,6
2026-03-15,10,0,48,26,3,0,639,0,44,4,0
2026-03-16,10,2,158,0,3,3,2120,1,74,5,0
2026-03-17,11,9,236,0,3,3,2351,1,77,5,0
2026-03-18,11,19,182,0,3,3,2555,1,77,12,0
2026-03-19,12,48,124,0,3,3,2449,1,82,55,0
2026-03-20,11,11,46,0,3,8,2878,1,39,386,10
2026-03-21,11,0,0,0,0,5,1103,0,0,337,0
