campaign_id,name,severity,signal_count,detected_at,summary,is_hostile_confirmed,notes,labeled_by,labeled_at
120,Omission of official apology to control narrative,HIGH,14,2026-03-21 19:34:15.939211+00,"Authorities in Novosibirsk Oblast are completing the forced culling of livestock due to a pasteurellosis outbreak, with compensation being paid to affected farmers.",UNKNOWN,,,
119,Systematic doubt-casting and downplaying of airspace violation,HIGH,14,2026-03-21 19:34:15.934403+00,"An Estonian official stated that a Russian Su-30 fighter jet violated Estonian airspace near Vaindloo island for approximately one minute, leading to Estonia summoning a Russian diplomat to issue a pr",UNKNOWN,,,
118,Systematic omission of public discontent regarding livestock culling,HIGH,11,2026-03-21 19:34:15.921954+00,Novosibirsk Governor Andrey Travnikov commented on the forced culling of livestock in the region due to outbreaks of pasteurellosis and rabies.,UNKNOWN,,,
117,Coordinated amplification of Trump's anti-NATO rhetoric to portray alliance as failing and divided,MEDIUM,15,2026-03-21 19:32:55.414902+00,"Donald Trump made statements regarding NATO's future, its role in the Iran conflict, and its support for Ukraine, leading to reactions from various international figures.",UNKNOWN,,,
111,Trusted media amplifies Russia-as-culture-weapon narrative across 3 Baltic categories,MEDIUM,9,2026-03-21 19:28:49.097251+00,"Пурга: мы не можем принять, что Россия использует культуру как инструмент военной пропаганды",UNKNOWN,,,
108,Fabricated quote to portray US-Europe disunity,HIGH,10,2026-03-21 19:28:46.990764+00,"Finnish President Alexander Stubb commented on Europe's potential military assistance to the US in the Strait of Hormuz in exchange for US support for Ukraine, and the US focus on Iran.",UNKNOWN,,,
106,Manufactured outrage and hostile framing of a legal extradition process,HIGH,14,2026-03-21 19:28:45.966505+00,"A Polish court approved the extradition of Russian archaeologist Alexander Butyagin to Ukraine, where he is wanted for conducting illegal excavations in Russian-occupied Crimea. The decision can be ap",UNKNOWN,,,
104,Manufactured outrage: tass_ru/rt_russian creates 4-article reaction chain over Крикунова Латвии,MEDIUM,4,2026-03-21 19:27:27.930677+00,У хоккейного тренера Крикунова отобрали вид на жительство в Латвии,UNKNOWN,,,
86,War Panic,HIGH,0,2026-03-20 07:50:00.283983+00,,UNKNOWN,,,
84,Russophobia,HIGH,0,2026-03-19 01:50:00.125571+00,,UNKNOWN,,,
83,Isolation,HIGH,0,2026-03-18 19:50:00.608707+00,,UNKNOWN,,,
77,Delegitimization,HIGH,0,2026-03-17 01:50:00.508157+00,,UNKNOWN,,,
72,Baltic Political Repression Narrative Blitz,HIGH,42,2026-03-14 22:50:05.205796+00,,UNKNOWN,,,
71,Kallas foreign policy criticism amplification,MEDIUM,3,2026-03-14 04:51:05.701142+00,,UNKNOWN,,,
70,Chaplygin-Kallas anti-Western framing push,MEDIUM,20,2026-03-14 04:50:05.524508+00,,UNKNOWN,,,
69,KOOS Russian Genocide Propaganda Push,CRITICAL,4,2026-03-13 16:50:11.124011+00,,UNKNOWN,,,
68,Narva Separatism Propaganda Surge,CRITICAL,4,2026-03-13 16:50:09.222821+00,,UNKNOWN,,,
67,Chaplygin EKRE Nuclear Fear Amplification,HIGH,8,2026-03-13 16:50:07.192627+00,,UNKNOWN,,,
66,KOOS Anti-Estonia YouTube Blitz,MEDIUM,14,2026-03-13 16:50:05.218237+00,,UNKNOWN,,,
65,Baltic Energy Crisis Disinformation Push,HIGH,12,2026-03-13 04:50:31.51584+00,,UNKNOWN,,,
64,Stefanov Baltic Repression Narrative Blitz,HIGH,26,2026-03-13 04:50:29.901526+00,,UNKNOWN,,,
63,Estonian Language Militarization Push,HIGH,34,2026-03-13 04:50:27.762494+00,,UNKNOWN,,,
62,Baltic Tension Amplification by Pro-Russian Media,HIGH,43,2026-03-13 04:50:23.503683+00,,UNKNOWN,,,
59,Baltic War Fear Propaganda Push,CRITICAL,225,2026-03-13 04:50:18.004183+00,,UNKNOWN,,,
58,Rail Baltica Corruption Smear,MEDIUM,6,2026-03-13 04:50:16.021333+00,,UNKNOWN,,,
56,Chaplygin Anti-Baltic Media Network,MEDIUM,206,2026-03-13 04:50:11.56759+00,,UNKNOWN,,,
55,RT Baltic Media Replacement Narrative,MEDIUM,8,2026-03-13 04:50:09.642973+00,,UNKNOWN,,,
34,"EKRE Anti-Western ""US Exploits Estonia"" Push",HIGH,10,2026-03-11 12:00:00+00,,UNKNOWN,,,
32,"KOOS ""Russian Genocide"" Propaganda Push",CRITICAL,21,2026-03-09 12:00:00+00,,UNKNOWN,,,
33,Narva Coalition Crisis Amplification,MEDIUM,14,2026-03-07 12:00:00+00,,UNKNOWN,,,
