date,region,cti_score
2026-02-01,estonia,0.00
2026-02-02,estonia,33.81
2026-02-03,estonia,2.53
2026-02-04,estonia,13.63
2026-02-05,estonia,4.16
2026-02-06,estonia,29.45
2026-02-10,estonia,35.30
2026-02-11,estonia,0.00
2026-02-12,estonia,0.00
2026-02-13,estonia,0.00
2026-02-14,estonia,0.00
2026-02-15,estonia,0.00
2026-02-16,estonia,0.00
2026-02-17,estonia,0.00
2026-02-18,estonia,0.00
2026-02-19,estonia,5.73
2026-02-20,estonia,27.84
2026-02-21,estonia,0.00
2026-02-23,estonia,0.00
2026-02-24,estonia,18.06
2026-02-25,estonia,6.92
2026-02-26,estonia,20.96
2026-02-27,estonia,32.09
2026-02-28,estonia,0.00
2026-03-01,estonia,15.87
2026-03-02,estonia,84.37
2026-03-03,estonia,47.87
2026-03-04,estonia,13.73
2026-03-05,estonia,19.42
2026-03-06,estonia,74.30
2026-03-07,estonia,19.16
2026-03-08,estonia,7.07
2026-03-09,estonia,0.00
2026-03-10,estonia,0.00
2026-03-11,estonia,9.76
2026-03-12,estonia,0.88
2026-03-13,estonia,0.00
2026-03-14,estonia,0.00
2026-03-15,estonia,0.00
2026-03-16,estonia,15.83
2026-03-17,estonia,12.79
2026-03-18,estonia,3.02
2026-03-19,estonia,11.49
2026-03-20,estonia,20.56
2026-03-21,estonia,0.00
2026-03-06,latvia,0.00
2026-03-07,latvia,0.00
2026-03-08,latvia,15.66
2026-03-09,latvia,97.13
2026-03-10,latvia,20.91
2026-03-11,latvia,15.52
2026-03-12,latvia,8.58
2026-03-13,latvia,47.43
2026-03-14,latvia,3.68
2026-03-15,latvia,0.00
2026-03-16,latvia,0.00
2026-03-17,latvia,0.00
2026-03-18,latvia,0.00
2026-03-19,latvia,33.88
2026-03-20,latvia,0.00
2026-03-21,latvia,0.00
2026-02-03,lithuania,0.00
2026-02-05,lithuania,9.66
2026-02-06,lithuania,0.00
2026-02-09,lithuania,0.00
2026-02-16,lithuania,0.00
2026-02-18,lithuania,0.00
2026-03-06,lithuania,9.59
2026-03-10,lithuania,18.94
2026-03-12,lithuania,0.00
2026-03-13,lithuania,100.00
2026-03-14,lithuania,85.71
2026-03-15,lithuania,10.44
2026-03-16,lithuania,100.00
2026-03-17,lithuania,55.64
2026-03-18,lithuania,20.21
2026-03-19,lithuania,29.44
2026-03-20,lithuania,0.00
2026-03-21,lithuania,0.00
2026-02-16,finland,0.00
2026-02-19,finland,9.66
2026-02-21,finland,24.48
2026-03-01,finland,7.27
2026-03-06,finland,8.13
2026-03-13,finland,16.70
2026-03-14,finland,0.00
2026-03-15,finland,18.49
2026-03-16,finland,0.00
2026-03-17,finland,0.00
2026-03-18,finland,13.04
2026-03-19,finland,0.00
2026-03-20,finland,80.71
2026-03-21,finland,74.50
2026-02-12,poland,0.00
2026-02-20,poland,0.00
2026-02-21,poland,28.98
2026-03-06,poland,0.99
2026-03-09,poland,9.69
2026-03-12,poland,6.13
2026-03-13,poland,3.38
2026-03-14,poland,8.09
2026-03-15,poland,2.93
2026-03-16,poland,11.38
2026-03-17,poland,55.35
2026-03-18,poland,80.60
2026-03-19,poland,0.00
2026-03-20,poland,0.00
2026-03-21,poland,0.00
