date,stored_level,stored_score,old_score,old_level,agg_score,agg_level,mod_score,mod_level
2026-02-05,GREEN,4.50,2.28,GREEN,2.92,GREEN,2.06,GREEN
2026-02-06,GREEN,5.50,2.29,GREEN,2.94,GREEN,2.08,GREEN
2026-02-07,GREEN,4.50,2.27,GREEN,2.93,GREEN,2.08,GREEN
2026-02-08,GREEN,4.50,2.24,GREEN,2.93,GREEN,2.07,GREEN
2026-02-09,GREEN,4.50,2.22,GREEN,2.92,GREEN,2.07,GREEN
2026-02-10,GREEN,4.50,2.20,GREEN,2.92,GREEN,2.07,GREEN
2026-02-11,GREEN,4.50,2.18,GREEN,2.91,GREEN,2.07,GREEN
2026-02-12,GREEN,6.20,2.18,GREEN,2.92,GREEN,2.07,GREEN
2026-02-13,GREEN,17.30,2.16,GREEN,2.90,GREEN,2.06,GREEN
2026-02-14,GREEN,7.70,2.18,GREEN,2.93,GREEN,2.09,GREEN
2026-02-15,GREEN,6.00,2.18,GREEN,2.95,GREEN,2.11,GREEN
2026-02-16,GREEN,6.00,2.21,GREEN,2.98,GREEN,2.13,GREEN
2026-02-17,GREEN,6.00,2.22,GREEN,3.01,GREEN,2.15,GREEN
2026-02-18,GREEN,11.59,2.29,GREEN,3.03,GREEN,2.17,GREEN
2026-02-19,GREEN,11.58,2.30,GREEN,3.06,GREEN,2.19,GREEN
2026-02-20,YELLOW,21.48,2.31,GREEN,3.10,GREEN,2.22,GREEN
2026-02-21,GREEN,13.82,2.29,GREEN,3.08,GREEN,2.21,GREEN
2026-02-22,GREEN,10.14,2.26,GREEN,3.06,GREEN,2.19,GREEN
2026-02-23,YELLOW,15.79,2.23,GREEN,3.04,GREEN,2.18,GREEN
2026-02-24,GREEN,14.06,2.21,GREEN,3.02,GREEN,2.17,GREEN
2026-02-25,GREEN,13.77,2.19,GREEN,3.00,GREEN,2.16,GREEN
2026-02-26,GREEN,13.83,2.16,GREEN,2.99,GREEN,2.15,GREEN
2026-02-27,YELLOW,17.97,2.19,GREEN,3.03,GREEN,2.17,GREEN
2026-02-28,GREEN,10.00,2.19,GREEN,3.05,GREEN,2.19,GREEN
2026-03-01,GREEN,13.31,2.20,GREEN,3.08,GREEN,2.21,GREEN
2026-03-02,YELLOW,15.44,2.26,GREEN,3.16,GREEN,2.26,GREEN
2026-03-03,YELLOW,15.44,2.36,GREEN,3.26,GREEN,2.31,GREEN
2026-03-04,GREEN,14.90,2.40,GREEN,3.20,GREEN,2.23,GREEN
2026-03-05,GREEN,14.12,2.40,GREEN,3.16,GREEN,2.22,GREEN
2026-03-06,GREEN,13.93,2.54,GREEN,3.26,GREEN,2.36,GREEN
2026-03-07,YELLOW,16.15,2.70,GREEN,3.35,GREEN,2.54,GREEN
2026-03-08,YELLOW,19.88,2.90,GREEN,3.51,GREEN,2.79,GREEN
2026-03-09,YELLOW,18.46,3.44,GREEN,4.01,GREEN,3.37,GREEN
2026-03-1,GREEN,17.00,3.32,GREEN,3.87,GREEN,3.25,GREEN
2026-03-10,GREEN,14.71,3.68,GREEN,4.19,GREEN,3.74,GREEN
2026-03-11,YELLOW,16.55,4.11,GREEN,4.50,GREEN,3.93,GREEN
2026-03-12,YELLOW,16.01,4.40,GREEN,4.70,GREEN,4.19,GREEN
2026-03-13,YELLOW,15.73,4.51,GREEN,4.74,GREEN,4.22,GREEN
2026-03-14,YELLOW,20.63,4.84,GREEN,4.98,GREEN,4.36,GREEN
2026-03-15,GREEN,11.79,4.96,GREEN,5.09,GREEN,4.34,GREEN
2026-03-16,GREEN,13.45,5.46,GREEN,5.44,GREEN,4.73,GREEN
2026-03-17,YELLOW,20.87,5.52,GREEN,5.49,GREEN,4.78,GREEN
2026-03-18,YELLOW,16.67,5.64,GREEN,5.60,GREEN,4.82,GREEN
2026-03-19,YELLOW,16.87,5.71,GREEN,5.72,GREEN,4.95,GREEN
2026-03-20,YELLOW,15.87,6.08,GREEN,5.95,GREEN,4.92,GREEN
2026-03-21,YELLOW,27.53,6.34,GREEN,6.29,GREEN,5.05,GREEN
2026-03-22,YELLOW,31.05,6.62,GREEN,6.72,GREEN,5.30,GREEN
2026-03-23,YELLOW,19.30,6.71,GREEN,6.82,GREEN,5.30,GREEN
2026-03-24,YELLOW,18.67,6.72,GREEN,6.87,GREEN,5.31,GREEN
2026-03-25,YELLOW,18.80,6.61,GREEN,6.80,GREEN,5.29,GREEN
