cluster_id,label,state_ratio,fimi_proxy,hawkes_br
5138,hostile,0.3636,1,0.990000
5340,hostile,0.5,1,0.990000
5461,hostile,0.2143,1,0.990000
5496,hostile,0.6667,1,0.990000
5928,hostile,0.5714,1,0.000002
5191,clean,0.375,1,0.015278
5237,clean,0.25,1,0.019670
5264,clean,0.125,1,0.990000
5268,clean,0.0,0,0.990000
5278,clean,0.1667,1,0.000000
5328,clean,0.2,1,0.990000
5343,clean,0.0667,1,0.001641
5448,clean,0.1429,1,0.000004
5625,clean,0.3077,1,0.990000
5656,clean,0.0769,1,0.990000
5802,clean,0.2857,1,0.990000
5913,clean,0.2,1,0.990000
5914,clean,0.6,1,0.154063
5996,clean,0.0,0,0.990000
6100,clean,0.2,1,0.000000
6474,clean,0.0,0,0.990000
